No,Latitude,Longitude,Name,Altitude,Description,Symbol,Date,Time,URL
1,50.492603,12.105431,"001",,"001","Waypoint",2006/03/28,00:10:37,
2,50.492603,12.105431,"002",,"002","Waypoint",2006/03/28,00:10:37,
3,50.494277,12.105130,"003",,"003","Waypoint",2006/03/28,00:10:37,
4,50.493834,12.106101,"004",,"004","Waypoint",2006/03/28,00:10:37,
5,50.493834,12.106101,"005",,"005","Waypoint",2006/03/28,00:10:37,
6,50.493376,12.107105,"006",,"006","Waypoint",2006/03/28,00:10:37,
7,50.493660,12.107152,"007",,"007","Waypoint",2006/03/28,00:10:37,
8,51.893799,12.977943,"ED_X",,"Dummy airport (Germany)","Airport",2006/03/28,01:38:07,
9,38.631995,-3.174055,"GC_X",,"Dummy airport (Spain)","Airport",2006/03/28,01:42:01,
10,50.493667,12.107150,"Jahnstrasse",,"Jahnstrasse 11","Flag, Red",2006/03/31,21:48:22,
11,46.387606,3.498277,"LF_X",,"Dummy airport (France)","Airport",2006/03/28,01:40:32,
12,50.493834,12.106100,"Liebknechtstrasse",,"Liebknechtstrasse 90","Waypoint",2006/03/31,21:49:30,
13,43.314550,12.161554,"LI_X",,"Dummy airport (Italy)","Heliport",2006/03/28,01:43:25,
14,50.492616,12.105448,"NARVA",391.0,"Start","Flag, Green",2006/03/31,21:49:26,"http://www.narva-light.de"
15,51.312938,12.413165,"RPT015",161.0,"RPT015","Waypoint",2005/05/01,15:02:47,
16,51.312883,12.413248,"RPT016",154.0,"RPT016","Waypoint",2005/05/01,15:03:25,
17,51.312855,12.413248,"RPT017",148.0,"RPT017","Waypoint",2005/05/01,15:03:39,
18,51.312827,12.413304,"RPT018",139.0,"RPT018","Waypoint",2005/05/01,15:04:16,
19,51.312827,12.413276,"RPT019",145.0,"RPT019","Waypoint",2005/05/01,15:05:02,
20,51.312827,12.413304,"RPT020",134.0,"RPT020","Waypoint",2005/05/01,15:05:45,
21,51.312772,12.413332,"RPT021",131.0,"RPT021","Waypoint",2005/05/01,15:06:44,
22,51.312772,12.413332,"RPT022",130.0,"RPT022","Waypoint",2005/05/01,15:07:50,
23,51.312744,12.413332,"RPT023",132.0,"RPT023","Waypoint",2005/05/01,15:08:19,
24,51.312799,12.413304,"RPT024",144.0,"RPT024","Waypoint",2005/05/01,15:11:16,
25,51.312911,12.413443,"RPT025",147.0,"RPT025","Waypoint",2005/05/01,15:12:34,
26,51.312994,12.413804,"RPT026",145.0,"RPT026","Waypoint",2005/05/01,15:13:18,
27,51.313049,12.413804,"RPT027",145.0,"RPT027","Waypoint",2005/05/01,15:13:27,
28,51.313049,12.413832,"RPT028",135.0,"RPT028","Waypoint",2005/05/01,15:13:37,
29,51.313105,12.413832,"RPT029",135.0,"RPT029","Waypoint",2005/05/01,15:13:46,
30,51.313216,12.413887,"RPT030",136.0,"RPT030","Waypoint",2005/05/01,15:14:03,
31,51.313299,12.413971,"RPT031",135.0,"RPT031","Waypoint",2005/05/01,15:14:16,
32,51.313272,12.414054,"RPT032",139.0,"RPT032","Waypoint",2005/05/01,15:14:26,
33,51.313272,12.414110,"RPT033",139.0,"RPT033","Waypoint",2005/05/01,15:14:30,
34,51.313049,12.414610,"RPT034",141.0,"RPT034","Waypoint",2005/05/01,15:15:06,
35,51.312966,12.414832,"RPT035",140.0,"RPT035","Waypoint",2005/05/01,15:15:27,
36,51.312911,12.414943,"RPT036",140.0,"RPT036","Waypoint",2005/05/01,15:15:39,
37,51.312938,12.414971,"RPT037",152.0,"RPT037","Waypoint",2005/05/01,15:25:31,
38,51.312938,12.414971,"RPT038",152.0,"RPT038","Waypoint",2005/05/01,15:25:40,
39,51.312966,12.414943,"RPT039",155.0,"RPT039","Waypoint",2005/05/01,15:29:18,
40,51.313160,12.414582,"RPT040",149.0,"RPT040","Waypoint",2005/05/01,15:30:30,
41,51.313160,12.414554,"RPT041",150.0,"RPT041","Waypoint",2005/05/01,15:30:37,
42,51.313160,12.414443,"RPT042",151.0,"RPT042","Waypoint",2005/05/01,15:30:47,
43,51.313160,12.414387,"RPT043",151.0,"RPT043","Waypoint",2005/05/01,15:30:48,
44,51.313327,12.413915,"RPT044",150.0,"RPT044","Waypoint",2005/05/01,15:30:52,
45,51.313688,12.413332,"RPT045",150.0,"RPT045","Waypoint",2005/05/01,15:30:57,
46,51.313994,12.412860,"RPT046",150.0,"RPT046","Waypoint",2005/05/01,15:31:03,
47,51.314216,12.412498,"RPT047",150.0,"RPT047","Waypoint",2005/05/01,15:31:10,
48,51.314633,12.409554,"RPT048",143.0,"RPT048","Waypoint",2005/05/01,15:32:38,
49,51.314633,12.409499,"RPT049",141.0,"RPT049","Waypoint",2005/05/01,15:32:45,
50,51.314633,12.409499,"RPT050",143.0,"RPT050","Waypoint",2005/05/01,15:33:17,
51,51.314633,12.409443,"RPT051",139.0,"RPT051","Waypoint",2005/05/01,15:33:42,
52,51.314633,12.409360,"RPT052",139.0,"RPT052","Waypoint",2005/05/01,15:33:54,
53,51.314633,12.409360,"RPT053",138.0,"RPT053","Waypoint",2005/05/01,15:34:04,
54,51.314633,12.409360,"RPT054",139.0,"RPT054","Waypoint",2005/05/01,15:34:20,
55,51.314633,12.409360,"RPT055",144.0,"RPT055","Waypoint",2005/05/01,15:35:45,
56,51.314633,12.409360,"RPT056",145.0,"RPT056","Waypoint",2005/05/01,15:35:56,
