lat,lon,gcid
1.0, 2.0, GC1
1.0, 2.0, GC01
1.0, 2.0, GC001
1.0, 2.0, GC0001
1.0, 2.0, GC0010
1.0, 2.0, GC0100
1.0, 2.0, GC1000
1.0, 2.0, GCS000
1.0, 2.0, GCFFFF
1.0, 2.0, GC0G000
1.0, 2.0, GC10000
1.0, 2.0, GCG0000
1.0, 2.0, GCZ000O
1.0, 2.0, GCZ000S
1.0, 2.0, GCZZZZZ
1.0, 2.0, GCZZZZZZ
1.0, 2.0, GCZZZZZZZ
1.0, 2.0, GCZZZZZZZZ
1.0, 2.0, GCZZZZZZZZZ
1.0, 2.0, GCZZZZZZZZZZ
1.0, 2.0, GCZZZZZZZZZZZ
1.0, 2.0, GCZZZZZZZZZZZZ
1.0, 2.0, GC0
1.0, 2.0, GC00
1.0, 2.0, GC000
1.0, 2.0, GC0000
1.0, 2.0, GC0G00
1.0, 2.0, GC0H00
1.0, 2.0, GC0I00
1.0, 2.0, GC0J00
1.0, 2.0, GC0K00
1.0, 2.0, GC0L00
1.0, 2.0, GC0M00
1.0, 2.0, GC0O00
1.0, 2.0, GC0P00
1.0, 2.0, GC0Q00
1.0, 2.0, GC0R00
1.0, 2.0, GC0T00
1.0, 2.0, GC0U00
1.0, 2.0, GC0V00
1.0, 2.0, GC0W00
1.0, 2.0, GC0X00
1.0, 2.0, GC0Y00
1.0, 2.0, GC0Z00
1.0, 2.0, GCZ000I
1.0, 2.0, GCZ000L
1.0, 2.0, GCZ000U
1.0, 2.0, GCZZZZZZZZZZZZZ
1.0, 2.0, ABCDEF
1.0, 2.0, 0x1234
1.0, 2.0, 12F456
1.0, 2.0, 12.456
1.0, 2.0, 12 456
1.0, 2.0, 012345
1.0, 2.0, 123456
1.0, 2.0, 787662783788138640
