lat,lon,desc
1.234°S,5.678°W,point0
1°14.04′S,5°40.68′W,point1
1°14′2.4″S,5°40′40.8″W,point2
S1.234°,W5.678°,point3
S1°14.04′,W5°40.68′,point4
S1°14′2.4″,W5°40′40.8″,point5
-1.234°,-5.678°,point6
-1°14.04′,-5°40.68′,point7
-1°14′2.4″,-5°40′40.8″,point8
1.234° S,5.678° W,point9
1° 14.04′ S,5° 40.68′ W,point10
1° 14′ 2.4″ S,5° 40′ 40.8″ W,point11
S 1.234°,W 5.678°,point12
S 1° 14.04′,W 5° 40.68′,point13
S 1° 14′ 2.4″,W 5° 40′ 40.8″,point14
-1.234°,-5.678°,point15
-1° 14.04′,-5° 40.68′,point16
-1° 14′ 2.4″,-5° 40′ 40.8″,point17
