utc_d,utc_t,lat,lon
2021/11/10,11:00:00 AM,66.000103228632,-179.97904
2021/11/10,11:00:01 AM,66.0001884601077,-179.97903
2021/11/10,11:00:02 AM,66.0000230237331,-179.97947
2021/11/10,11:00:03 AM,66.000045323685,-179.98008
2021/11/10,11:00:04 AM,66.0001767900345,-179.98048
2021/11/10,11:00:05 AM,66.0001092928285,-179.98067
2021/11/10,11:00:06 AM,66.0001668298279,-179.98197
2021/11/10,11:00:07 AM,66.0000748518391,-179.98320
2021/11/10,11:00:08 AM,66.0001341555094,-179.98429
2021/11/10,11:00:09 AM,66.0001213660596,-179.98519
2021/11/10,11:00:10 AM,66.0001967593428,-179.98558
2021/11/10,11:00:11 AM,66.0001580625671,-179.98671
2021/11/10,11:00:12 AM,66.0001378472268,-179.98805
2021/11/10,11:00:13 AM,66.0001709596168,-179.98906
2021/11/10,11:00:14 AM,66.0000502908297,-179.98970
2021/11/10,11:00:15 AM,66.000066383696,-179.99130
2021/11/10,11:00:16 AM,66.0000462879889,-179.99183
2021/11/10,11:00:17 AM,66.0001312399228,-179.99340
2021/11/10,11:00:18 AM,66.0000883525882,-179.99384
2021/11/10,11:00:19 AM,66.0001647357197,-179.99504
2021/11/10,11:00:20 AM,66.0001959985441,-179.99596
2021/11/10,11:00:21 AM,66.0001581122524,-179.99737
2021/11/10,11:00:22 AM,66.0001028337378,-179.99798
2021/11/10,11:00:23 AM,66.000105956278,-179.99903
2021/11/10,11:00:24 AM,66.0000574941283,-179.99956
2021/11/10,11:00:25 AM,66.0000416369344,179.99915
2021/11/10,11:00:26 AM,66.0001504925119,179.99831
2021/11/10,11:00:27 AM,66.0001927654035,179.99675
2021/11/10,11:00:28 AM,66.0001282065146,179.99621
2021/11/10,11:00:29 AM,66.0000911889429,179.99493
2021/11/10,11:00:30 AM,66.0001909788552,179.99362
2021/11/10,11:00:31 AM,66.0000568057737,179.99293
2021/11/10,11:00:32 AM,66.0000978383165,179.99211
2021/11/10,11:00:33 AM,66.0000403599515,179.99138
2021/11/10,11:00:34 AM,66.0001144849062,179.99045
2021/11/10,11:00:35 AM,66.0000769781374,179.98854
2021/11/10,11:00:36 AM,66.0000133158984,179.98783
2021/11/10,11:00:37 AM,66.0001758676388,179.98699
2021/11/10,11:00:38 AM,66.0000207460354,179.98606
2021/11/10,11:00:39 AM,66.0000931231469,179.98538
2021/11/10,11:00:40 AM,66.0001991309548,179.98429
2021/11/10,11:00:41 AM,66.0001841979519,179.98311
2021/11/10,11:00:42 AM,66.0001217081583,179.98251
2021/11/10,11:00:43 AM,66.0001017396611,179.98182
2021/11/10,11:00:44 AM,66.0001469324212,179.98183
2021/11/10,11:00:45 AM,66.0000706021879,179.98175
2021/11/10,11:00:46 AM,66.0000732617344,179.98178
2021/11/10,11:00:47 AM,66.0001673249007,179.98162
