No,Latitude,Longitude,Speed,Date,Time
1,0.000000,2.999551,0.00,2010/01/01,00:00:00
2,0.000000,2.999641,50.02,2010/01/01,00:00:00.200
3,0.000000,2.999730,50.02,2010/01/01,00:00:00.400
4,0.000000,2.999820,50.02,2010/01/01,00:00:00.600
5,0.000000,2.999910,50.02,2010/01/01,00:00:00.800
6,0.000000,3.000000,50.02,2010/01/01,00:00:01
7,0.000000,3.000090,50.02,2010/01/01,00:00:01.200
8,0.000000,3.000180,50.02,2010/01/01,00:00:01.400
9,0.000000,3.000270,50.02,2010/01/01,00:00:01.600
10,0.000000,3.000359,50.02,2010/01/01,00:00:01.800
11,0.000000,3.000449,50.02,2010/01/01,00:00:02
