No,Latitude,Longitude,Name,Date,Time
1,33.784801,-117.474350,"WPT001",2014/09/17,13:20:20.004
2,33.784801,-117.474342,"WPT002",2014/09/17,13:20:20.060
3,33.784801,-117.474342,"WPT003",2014/09/17,13:20:20.800
4,33.784801,-117.474342,"WPT004",2014/09/17,13:20:21
5,33.784801,-117.474342,"WPT005",2014/09/17,13:20:21.200
6,33.784801,-117.474335,"WPT006",2014/09/17,13:20:21.400
7,33.784801,-117.474335,"WPT007",2014/09/17,13:20:21.600
8,33.784801,-117.474335,"WPT008",2014/09/17,13:20:21.800
9,33.784805,-117.474327,"WPT009",2014/09/17,13:20:22
10,33.784805,-117.474327,"WPT010",2014/09/17,13:20:22.200
11,33.784805,-117.474327,"WPT011",2014/09/17,13:20:22.400
