No,Latitude,Longitude
1,30.062183,-91.610350
2,30.062783,-91.610567
3,30.062700,-91.608267
4,30.062333,-91.607383
5,30.061533,-91.605283
6,30.059783,-91.599400
7,30.057800,-91.596683
8,30.055383,-91.594900
9,30.053883,-91.592617
10,30.049733,-91.589750
11,30.049017,-91.589883
12,30.048800,-91.592933
13,30.046233,-91.596450
14,30.045517,-91.598717
15,30.047300,-91.600267
16,30.047000,-91.599633
17,30.046433,-91.599467
18,30.046200,-91.598950
19,30.046367,-91.597733
20,30.046350,-91.597167
21,30.046783,-91.596333
22,30.047450,-91.595200
23,30.047800,-91.594767
24,30.048250,-91.594083
25,30.048683,-91.593800
26,30.049350,-91.593850
27,30.050317,-91.593983
28,30.050783,-91.594117
29,30.051233,-91.594367
30,30.051800,-91.594367
31,30.052217,-91.594667
32,30.053017,-91.594683
33,30.054867,-91.595200
34,30.053733,-91.594933
35,30.053183,-91.594783
36,30.052633,-91.594833
37,30.052450,-91.595433
38,30.052483,-91.595967
39,30.052650,-91.596783
40,30.053133,-91.597850
41,30.053617,-91.597967
42,30.053967,-91.597767
43,30.053617,-91.598083
44,30.053200,-91.597917
45,30.052817,-91.597517
46,30.052567,-91.596933
47,30.052333,-91.596433
48,30.052250,-91.595683
49,30.052217,-91.595017
50,30.051883,-91.594700
51,30.051050,-91.594400
52,30.050567,-91.594233
53,30.050183,-91.594100
54,30.049100,-91.593717
55,30.048450,-91.594250
56,30.048083,-91.594750
57,30.047500,-91.595450
58,30.047067,-91.596000
59,30.046633,-91.596600
60,30.046400,-91.597650
61,30.046233,-91.598467
62,30.046317,-91.598967
63,30.046783,-91.599283
64,30.047133,-91.599667
